n_reg,n_l,n_yl,n_kv,n_v,rn_v,rn_l,rn_yl,rn_kv,c_reg,c_l,c_yl,c_kv,c_v,n_yr
Кировская область,Слободское,Слободское,5,1,43:31:7:1:2,43:31,43:31:7,43:31:7:1,43,31,7,1,2,
Кировская область,Слободское,Слободское,5,2,43:31:7:1:3,43:31,43:31:7,43:31:7:1,43,31,7,1,3,
Кировская область,Слободское,Слободское,5,3,43:31:7:1:7,43:31,43:31:7,43:31:7:1,43,31,7,1,7,
Кировская область,Слободское,Слободское,5,4,43:31:7:1:8,43:31,43:31:7,43:31:7:1,43,31,7,1,8,
Кировская область,Слободское,Слободское,5,5,43:31:7:1:6,43:31,43:31:7,43:31:7:1,43,31,7,1,6,
Кировская область,Слободское,Слободское,5,6,43:31:7:1:10,43:31,43:31:7,43:31:7:1,43,31,7,1,10,
Кировская область,Слободское,Слободское,5,7,43:31:7:1:12,43:31,43:31:7,43:31:7:1,43,31,7,1,12,
Кировская область,Слободское,Слободское,5,8,43:31:7:1:18,43:31,43:31:7,43:31:7:1,43,31,7,1,18,
Кировская область,Слободское,Слободское,5,9,43:31:7:1:15,43:31,43:31:7,43:31:7:1,43,31,7,1,15,
Кировская область,Слободское,Слободское,5,10,43:31:7:1:17,43:31,43:31:7,43:31:7:1,43,31,7,1,17,
Кировская область,Слободское,Слободское,5,11,43:31:7:1:19,43:31,43:31:7,43:31:7:1,43,31,7,1,19,
Кировская область,Слободское,Слободское,5,12,43:31:7:1:20,43:31,43:31:7,43:31:7:1,43,31,7,1,20,
Кировская область,Слободское,Слободское,5,13,43:31:7:1:22,43:31,43:31:7,43:31:7:1,43,31,7,1,22,
Кировская область,Слободское,Слободское,5,14,43:31:7:1:25,43:31,43:31:7,43:31:7:1,43,31,7,1,25,
Кировская область,Слободское,Слободское,5,15,43:31:7:1:27,43:31,43:31:7,43:31:7:1,43,31,7,1,27,
Кировская область,Слободское,Слободское,5,16,43:31:7:1:32,43:31,43:31:7,43:31:7:1,43,31,7,1,32,
Кировская область,Слободское,Слободское,5,17,43:31:7:1:30,43:31,43:31:7,43:31:7:1,43,31,7,1,30,
Кировская область,Слободское,Слободское,5,18,43:31:7:1:39,43:31,43:31:7,43:31:7:1,43,31,7,1,39,
Кировская область,Слободское,Слободское,5,19,43:31:7:1:1,43:31,43:31:7,43:31:7:1,43,31,7,1,1,
Кировская область,Слободское,Слободское,5,20,43:31:7:1:21,43:31,43:31:7,43:31:7:1,43,31,7,1,21,
Кировская область,Слободское,Слободское,5,21,43:31:7:1:4,43:31,43:31:7,43:31:7:1,43,31,7,1,4,
Кировская область,Слободское,Слободское,5,22,43:31:7:1:5,43:31,43:31:7,43:31:7:1,43,31,7,1,5,
Кировская область,Слободское,Слободское,5,23,43:31:7:1:11,43:31,43:31:7,43:31:7:1,43,31,7,1,11,
Кировская область,Слободское,Слободское,5,24,43:31:7:1:33,43:31,43:31:7,43:31:7:1,43,31,7,1,33,
Кировская область,Слободское,Слободское,5,25,43:31:7:1:31,43:31,43:31:7,43:31:7:1,43,31,7,1,31,
Кировская область,Слободское,Слободское,5,26,43:31:7:1:35,43:31,43:31:7,43:31:7:1,43,31,7,1,35,
Кировская область,Слободское,Слободское,5,27,43:31:7:1:23,43:31,43:31:7,43:31:7:1,43,31,7,1,23,
Кировская область,Слободское,Слободское,5,28,43:31:7:1:38,43:31,43:31:7,43:31:7:1,43,31,7,1,38,
Кировская область,Слободское,Слободское,5,29,43:31:7:1:26,43:31,43:31:7,43:31:7:1,43,31,7,1,26,
Кировская область,Слободское,Слободское,5,30,43:31:7:1:28,43:31,43:31:7,43:31:7:1,43,31,7,1,28,
Кировская область,Слободское,Слободское,5,31,43:31:7:1:29,43:31,43:31:7,43:31:7:1,43,31,7,1,29,
Кировская область,Слободское,Слободское,5,32,43:31:7:1:24,43:31,43:31:7,43:31:7:1,43,31,7,1,24,
Кировская область,Слободское,Слободское,5,33,43:31:7:1:14,43:31,43:31:7,43:31:7:1,43,31,7,1,14,
Кировская область,Слободское,Слободское,5,34,43:31:7:1:34,43:31,43:31:7,43:31:7:1,43,31,7,1,34,
Кировская область,Слободское,Слободское,5,35,43:31:7:1:37,43:31,43:31:7,43:31:7:1,43,31,7,1,37,
Кировская область,Слободское,Слободское,5,36,43:31:7:1:36,43:31,43:31:7,43:31:7:1,43,31,7,1,36,
Кировская область,Слободское,Слободское,5,37,43:31:7:1:13,43:31,43:31:7,43:31:7:1,43,31,7,1,13,
Кировская область,Слободское,Слободское,5,38,43:31:7:1:9,43:31,43:31:7,43:31:7:1,43,31,7,1,9,
Кировская область,Слободское,Слободское,5,39,43:31:7:1:16,43:31,43:31:7,43:31:7:1,43,31,7,1,16,
Кировская область,Слободское,Слободское,6,1,43:31:7:2:1,43:31,43:31:7,43:31:7:2,43,31,7,2,1,
Кировская область,Слободское,Слободское,6,2,43:31:7:2:11,43:31,43:31:7,43:31:7:2,43,31,7,2,11,
Кировская область,Слободское,Слободское,6,3,43:31:7:2:2,43:31,43:31:7,43:31:7:2,43,31,7,2,2,
Кировская область,Слободское,Слободское,6,4,43:31:7:2:5,43:31,43:31:7,43:31:7:2,43,31,7,2,5,
Кировская область,Слободское,Слободское,6,5,43:31:7:2:6,43:31,43:31:7,43:31:7:2,43,31,7,2,6,
Кировская область,Слободское,Слободское,6,6,43:31:7:2:7,43:31,43:31:7,43:31:7:2,43,31,7,2,7,
Кировская область,Слободское,Слободское,6,7,43:31:7:2:10,43:31,43:31:7,43:31:7:2,43,31,7,2,10,
Кировская область,Слободское,Слободское,6,8,43:31:7:2:22,43:31,43:31:7,43:31:7:2,43,31,7,2,22,
Кировская область,Слободское,Слободское,6,9,43:31:7:2:21,43:31,43:31:7,43:31:7:2,43,31,7,2,21,
Кировская область,Слободское,Слободское,6,10,43:31:7:2:26,43:31,43:31:7,43:31:7:2,43,31,7,2,26,
Кировская область,Слободское,Слободское,6,11,43:31:7:2:25,43:31,43:31:7,43:31:7:2,43,31,7,2,25,
Кировская область,Слободское,Слободское,6,12,43:31:7:2:23,43:31,43:31:7,43:31:7:2,43,31,7,2,23,
Кировская область,Слободское,Слободское,6,13,43:31:7:2:20,43:31,43:31:7,43:31:7:2,43,31,7,2,20,
Кировская область,Слободское,Слободское,6,14,43:31:7:2:18,43:31,43:31:7,43:31:7:2,43,31,7,2,18,
Кировская область,Слободское,Слободское,6,15,43:31:7:2:29,43:31,43:31:7,43:31:7:2,43,31,7,2,29,
Кировская область,Слободское,Слободское,6,16,43:31:7:2:35,43:31,43:31:7,43:31:7:2,43,31,7,2,35,
Кировская область,Слободское,Слободское,6,17,43:31:7:2:36,43:31,43:31:7,43:31:7:2,43,31,7,2,36,
Кировская область,Слободское,Слободское,6,18,43:31:7:2:30,43:31,43:31:7,43:31:7:2,43,31,7,2,30,
Кировская область,Слободское,Слободское,6,19,43:31:7:2:42,43:31,43:31:7,43:31:7:2,43,31,7,2,42,
Кировская область,Слободское,Слободское,6,20,43:31:7:2:38,43:31,43:31:7,43:31:7:2,43,31,7,2,38,
Кировская область,Слободское,Слободское,6,21,43:31:7:2:46,43:31,43:31:7,43:31:7:2,43,31,7,2,46,
Кировская область,Слободское,Слободское,6,22,43:31:7:2:44,43:31,43:31:7,43:31:7:2,43,31,7,2,44,
Кировская область,Слободское,Слободское,6,23,43:31:7:2:45,43:31,43:31:7,43:31:7:2,43,31,7,2,45,
Кировская область,Слободское,Слободское,6,24,43:31:7:2:48,43:31,43:31:7,43:31:7:2,43,31,7,2,48,
Кировская область,Слободское,Слободское,6,25,43:31:7:2:43,43:31,43:31:7,43:31:7:2,43,31,7,2,43,
Кировская область,Слободское,Слободское,6,26,43:31:7:2:12,43:31,43:31:7,43:31:7:2,43,31,7,2,12,
Кировская область,Слободское,Слободское,6,27,43:31:7:2:4,43:31,43:31:7,43:31:7:2,43,31,7,2,4,
