annotation;enumeration_value
Пихтовое, Архангельское, Архангельская область, Мурманская область;00:10:1
Приморское, Архангельское, Архангельская область, Мурманская область;00:10:2
Североморское, Архангельское, Архангельская область, Мурманская область;00:10:3
Центральное, Архангельское, Архангельская область, Мурманская область;00:10:4
Брянское, Брянское, Белгородская область, Брянская область, Воронежская область, Калужская область, Курская область, Липецкая область, Орловская область, Смоленская область, Тамбовская область;00:11:1
Дорогобужское, Брянское, Белгородская область, Брянская область, Воронежская область, Калужская область, Курская область, Липецкая область, Орловская область, Смоленская область, Тамбовская область;00:11:2
Курское, Брянское, Белгородская область, Брянская область, Воронежская область, Калужская область, Курская область, Липецкая область, Орловская область, Смоленская область, Тамбовская область;00:11:3
Смоленское, Брянское, Белгородская область, Брянская область, Воронежская область, Калужская область, Курская область, Липецкая область, Орловская область, Смоленская область, Тамбовская область;00:11:4
Тамбовское, Брянское, Белгородская область, Брянская область, Воронежская область, Калужская область, Курская область, Липецкая область, Орловская область, Смоленская область, Тамбовская область;00:11:5
Буйское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:1
Центральное, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:10
Яропольское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:11
Володарское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:2
Голубевское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:3
Ивановское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:4
Коневское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:5
Лихачевское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:6
Мулинское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:7
Мургеевское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:8
Фролищенское, Гороховецкое, Владимирская область, Ивановская область, Костромская область, Нижегородская область, Ярославская область;00:12:9
Клязьменское, Костеревское, Владимирская область, Московская область;00:15:1
Костеревское, Костеревское, Владимирская область, Московская область;00:15:2
